id,seeker_post,response_post
2297,Yeah.,Okay.
2298,Mm-hmm.,"So, uh, uh, a portion of the time it's working well for you and another portion of the time maybe you would like-"
2299,"Um, I'd like to make sure that I'd, you know, in terms of respecting myself and my body, I'd like to, you know, try to drink less.",-would like to make some adjustments-
2300,"Like I-I-- You know, it is nice to let loose and have fun, but I'd also like it to be so, you know, I'm not damaging my body, you know.","-to-to make it a little smoother. Okay. So, kind of thinking along those lines, how important is it to you make some changes or make some adjustments to your drinking to sort of fit with your values and your goals for yourself?"
2301,Like my liver doesn't work by the time I'm like 22.,Okay.
2302,"And, um, you know, have my friends on board with a similar mentality so we can kind of work at it together as a group, as a- as a community.",Right.
2303,Yeah.,Mm-hmm.
2304,I'd say about like-like a six or a seven.,Uh-huh. So kind of combining you alls-
2305,"I'd like to work on it but, you know, if I get around to it, I get around to it. If I don't, I don't.","-goals. Okay. So, you-you have a goal it sounds like, of actually cutting back on your drinking. How important is it to you to work on that goal and on a scale of one to ten, where one is not at all important and ten is it's the most important thing right now?"
2306,"Um, because I still think it's-it's important.","Oh, okay."
2307,"I still, you know. Like I said, I don't want to hurt my body. Especially going to med school like I know how things affect your body and also affect your-your social and your school work and things like. I know that once I get to college, it's not- it's not gonna-gonna work out being, you know, drinking every weekend and then like trying to wake up early and go to school, take an exam. Like I know that's not- that's not feasible. It's not a good idea.",Uh-huh. Why do you say six or seven rather than like a four?
2308,Yeah.,Uh-huh.
2309,I think I-,"Yeah, looking ahead, you can't keep drinking this way and reach the goals that you have for yourself."
2310,"I think if I made the decision that I was going to, for sure, then I think definitely like a 10 I know it'd be going through.","Okay. Well, how confident are you that you could cut down if you wanted to-"
2311,"It's just because I know that once I make the decision, I know I can do it. It's making the decision in the first place.",-on that same scale from one to ten?
2312,"Um, I'm thinking of maybe like trying to convince my friends without sounding, you know, dorky or something and be like, hey, you know, let's just stay in today. Like, let's not go out or something. Or just be like, hey, I'm not like-- I'm not going to drink today. And then even if my friends do, like being okay with them, drinking around me and not doing it, and then them being okay with me drinking-- Me not drinking and them doing whatever they want.","Oh, wow. Okay. Why do you say 10?"
2313,Yeah.,"Okay. And so you mentioned the- you know, quite a few reasons why you would like to cut down. Um, have you thought at all about how you might go about doing that?"
2314,Yeah.,"So sort of, um, trying to plan more activities that don't involve alcohol-"
2315,I think so. I think it's-it's very feasible. I think it's possible.,-and then also trying to participate in activities without drinking yourself or maybe even drinking less than you're drinking.
2316,I think so. I think that's good.,Okay. Does that sound like a goal you want to work on now or?
2317,Yeah.,"Okay. Um, so I guess we'll talk about, um, less alcohol activities. I'm just making some notes to myself and then maybe, um, reducing the amount of drinking that you're doing if alcohol is involved. Okay. Um, so that-that goal sounds feasible, you said? Would it be okay if we met in a couple of weeks to sort of see how it's going?"
2318,"Yeah, I'd like to.",Does that sound like something you'd like to do?
2319,Perfect. Nice.,"Okay. Well, I really appreciate you spending the time talking to me, you know, it sounds like you have a lot of really good goals for yourself, really ambitious goals of going to medical school and, you know, becoming a psychiatrist or, um, some-some other form of physician. Um, you're really looking forward to doing well in school so you can get there."
2320,"I'm sorry, but are you the pharmacist? I just had a question about citalopram.","And it sounds like you have a pretty active social life and a-a lot of friends who you feel probably would be, uh, supportive, even if you cut down on alcohol and that, you know, there's a lot of benefits you see both to your body and your health, um, your school performance, and even some of the social stuff in terms of feeling a sense of belonging without having to deal with some of the gross consequences of-of, um, drinking too much."
2321,"Okay, but I just wanted to know if it interacts with phenelzine?","Um, so yeah, you know, it really sounds to me like you have a good plan in place and as long as you're willing and-and interested in meeting again, I'd be very excited to be able to talk with you about how it's going."
2322,"Okay, thanks for that. I have an appointment to run to.",All right. Great. So I'll-I'll plan to see you then in a few more weeks.
2323,"Yeah, I do, just a couple of minutes though.",Great.
2324,"Um, nothing specific. I just am unfamiliar with the medication.","Yeah, I'm the pharmacist on duty. Citalopram, okay. It's an antidepressant and it comes in 10, 20, and 40-milligram strengths. It's excreted in the urine and it has a half-life of about 35 hours. For side effects, there are sexual side effects, heart side effects, and stomach side effects."
2325,"Okay. Uh, what about side effects?","Oh, um, yeah, I think that should be fine."
2326,"Um, what about does it interact with phenelzine?","All right, thanks. Call me anytime."
2327,"Oh, sure.","All right. Well, do you have any specific questions?"
2328,Yeah.,"Okay. Well, citalopram is an SSRI medication. Its indication is for depression and it's typically dosed as a 20-milligram tablet but it is available as 10, 20, and 40 milligrams. Any patients started on this medication should be monitored for improvement in symptoms in four to eight weeks."
2329,"Yeah, yeah.","If there are some side effects to this, it can include GI effects, sedation, or sexual dysfunction. But if you have a patient that suffers from any of those things, you can try either decreasing the dose or changing them to a different agent. Do you have any other questions?"
2330,"Yeah, it'd be good.","Oh, that I'm not sure of. Um, can I get back to you later on this afternoon with that answer?"
2331,I guess it doesn't.,Fantastic. Thank you.
2332,"Uh, I guess I have to keep coming-coming back here and go into court and stuff.","-so don't forget the nice car, and some kids, and be a- be a good dad-"
2333,Yeah. It kinda messes things up.,"-to your kids. So, is this dream starting to-- I am getting a picture of?"
2334,Yeah. It makes it harder.,"Yeah. Okay. So, what I'm really interested in is how offending fits in with that picture, that dream."
2335,Mm.,"Yeah, how doesn't it fit, Billy?"
2336,"Like it's hard to get a job 'cause you have to say that you've done prison time and stuff, so it's pretty hard.",Yeah?
2337,Yeah.,"Yeah. It kinda messes up that dream, that picture?"
2338,Mm.,"Mm. Makes it harder? Yeah. Well, it can make it harder to keep a job, aye?"
2339,"Uh, I don't know if-if I would go into polytech, done courses there or something.",And harder to—
2340,"Yeah. Like, if they've got jobs now.",Yeah.
2341,Yeah.,And we've talked about that idea of you getting a job and something to do with cars 'cause that's where your passion is.
2342,"Yeah, yeah.","Yeah? So, what have you been thinking, um, since we last met, about what you might do about getting that kind of job?"
2343,Yeah.,Mm-hmm.
2344,"Just learn more about cars and just, kind of, hands-on job.","Okay, so you know some people?"
2345,"[sighs] Mechanic, or panel [unintelligible 00:18:02], or just-- I wouldn't care, I just-- as long as it's cars.",You've gone down that road of kind of going back to school in some ways and getting a tryout or-
2346,"Yes, pretty much.",-getting a qualification?
2347,Yeah.,"Yeah? So, what-what would interest you about going down that same, sort of, path?"
2348,"Just I have to get that training, I guess, and then probably get a job.","Mm-hmm. Yeah, so what in particular? Like, if you could have whatever you wanted, in terms of that sort of work, what would you do?"
2349,Yeah.,"Mm-hmm. So, as long as it has to do with cars, you'd be sweet with that?"
2350,"Like, sort of, um, just at the polytech. I don't know what exactly it was, but—",Yeah?
2351,"It took them like-- And, it took them like a year or something, and then they went into apprenticeship.",Okay. So-so what sort of things do you think you need to do to go down that path to get that qualification?
2352,Yeah.,Mm-hmm.
2353,"Yeah. I could do it pretty easy. It's just, like, I probably know all this stuff already.","Okay. So, what sort of training did you-- did these people, that you've been talking about, what did they do?"
2354,"Like, well, I went out and picked some forms and stuff, but it's real confusing, like, having to apply, so I-I just couldn't-- I don't know. I couldn't do it.",Mm-hmm.
2355,"Yeah, yeah.",Mm-hmm.
2356,"Yeah, yeah. Passed around and everything.","Yeah. So, how confident are you that you could do something similar to these-these friends that you've got?"
2357,Yeah.,"Okay. So, it would be pretty easy. So, if it's pretty easy, what do you need to do next, Billy?"
2358,"Yeah, but I just-- Like, they wouldn't help me out, so-","Okay. So, you actually went to the polytech—"
2359,-I got some forms and-,-and picked up some forms?
2360,"I asked- I asked them what I had to do, and they said I had to fill out some forms, but-",Wow.
2361,"-well, the forms, it's too confusing.","That's fantastic, Billy."
2362,"Yeah, yeah. Well, I got one- I got one for panel [unintelligible 00:19:33], and one for, uh, uh, like, panel and paint-",Okay.
2363,"-so, learning how to paint cars and stuff.",Tell me- tell me what happened when you say they-- like it didn't help you? What-what-what happened?
2364,Yeah.,Yeah.
2365,"Yeah. I was gonna fill them out there, but then I didn't get them, so I took them home, but I was gonna get Donna to help me, but I just didn't get around to it.","Okay. So, they gave you a horde of forms for a particular course?"
2366,Yeah.,Mm.
2367,"I didn't understand, like, what you're supposed to write down. Like, yeah. I'm not good at this, maybe too confusing.",Yeah.
2368,I don't really deal with it. I s-- I don't really like writing.,"Okay. So, you got the forms, took them- took them home?"
2369,No.,Mm-hmm. You said the forms were confusing?
2370,"No, I'm just real messy, so people can't read it.",Yeah? What-what's the confusing bit?
2371,"[chuckles] Yeah, no. It's what they say, yeah.","Yeah. So, when you've had to write things or fill out forms before, how-how's that been for you?"
2372,"Yeah, I am. [chuckles]",You don't like writing?
2373,Yeah.,"Yeah. So, wondering what that's about, about not actually liking writing."
2374,"Yeah. Like, a computer or something. If you could write on a computer, I could do that.",People can't read-- People can't read your handwriting?
2375,"But, we don't have a computer.","Oh, you must be a doctor."
2376,"Just ask to get someone else to do it I guess. I guess I could ask Donna, but it's been embarrassing.",Yeah? [chuckles] Yeah?
2377,Yeah.,"Okay. So, you need some help to fill out the forms?"
2378,"Well, I don't know if it's that serious, it's just-",Mm.
2379,"-I'm sure most people can fill them out. I don't know, I just don't get it.","Okay. All right, so what-what do you need to do, Billy, to actually get to that point where you can fill out a form and post it off?"
2380,No one. I guess you. You could do it. Would you do it?,"Okay, so you feel like it would be embarrassing to ask Donna to give you some help-"
2381,No.,-because you feel that she might find out something about you that you're not quite sure you want her to find out?
2382,Yeah.,Okay.
2383,Yeah.,"Hmm. So, who else could you ask to help you?"
2384,Mm.,"Well, have you got the forms with you?"
2385,"I guess, I'd go pick them up and I don't know, I guess I could ask Donna, but she'd probably help me, I don't really want to.","Okay. I'm wondering about-- because it sounds like this whole idea about filling out the forms, is getting in the way of this bigger dream that you've got which is around getting a qualification around something to do with cars-"
2386,"Well, I don't know. Plus, well, I don't know if I could bother getting up at nine o'clock every morning and having to go to Polytec. I've got used to sleeping in.","-and getting on this road where you're staying out of trouble because you've got this, um, interest-"
2387,At night.,"-which you can do. So, it seems a real shame that the forms are gonna get in the way, so we need to find a way around the forms."
2388,Yeah.,"Yeah? So, what do you think, between now and next week, you can do around the forms?"
2389,"Yeah. Uh, it would be cool if it's anything like school. Like, I didn't really enjoy school. [unintelligible 00:22:56] so writing and stuff, and I wouldn't wanna do that. If it's all hands-on though, it would be all good.","She'd probably help you, but you don't really want to. It sounds like you're a bit embarrassed."
2390,"Yeah. No, it does get in the way. I just don't wanna do it.",Mm.
2391,It's a waste of time.,"So, the whole thing about going back to poly-- going back to school-"
2392,Yeah.,"-going back to polytech is-- would-would require a really big change in the way which you're currently living, and you're not quite sure if you can do that."
2393,For what?,"Yeah. So, there's something here about your level of-- about how confident you are around writing or how unconfident you are, that sounds like it's getting in the way."
2394,"Of what? Well, I don't get it.",Mm. Okay.
2395,Yeah. I can't.,"All right. So, it sounds like we might need to have some more conversation around that."
2396,"Oh, it's pretty [unintelligible 00:23:47], but, like, still-- I don't know, I'm not retarded, or anything. I can write and read.","So, what's really getting in the way?"
2397,Yeah.,"Well, this writing business. What's really getting in the way?"
2398,Like--,"Well, I'm wondering, like-- it sounds like it's a thing that you're putting up as saying you can't do-"
2399,Yeah.,-so I'm wondering where you are around your writing and you're reading?
2400,Yeah.,Mm.
2401,"No, not really. Yeah, I don't really enjoy it.","Yeah. Well, I have to say, I think it's really obvious that you're not retarded."
2402,Yeah.,[chuckles]
2403,"I don't know. Hopefully, not many-- not much, but that's what I wanna find out, I guess.","Yeah, we are having a really good conversation here."
2404,It'd make everything easier.,"So, reading and writing is not a strong point for you."
2405,"Like-- I don't really like reading books or anything, so I don't really care about that but just, say, real-life stuff like going to the bank, and stuff like that-",Mm.
2406,"-yeah, that have filling out forms.","So, how much reading and writing is involved in the course that you're gonna go on?"
2407,Yeah.,"So, what'd it be like if you were more confident in your reading and writing? What'd that be like?"
2408,Yeah.,Mm.
2409,"Yeah, I didn't think about that.",Mm-hmm.
2410,"Yeah, that'd suck if you had to read, like, a big manual or something. Hmm.",Yeah.
2411,Mm.,"And, I guess that there will be manuals and stuff like that on-"
2412,"Right. Actually, I do want to speak to you about something that happened during this past weekend. Usually, as, you know, I'm, um, I'm an honor student. I-I usually I'm studying over the weekend and my parents don't let me go out to parties, but I kind of use that to my advantage, to convince my parents to go to this party that my friends were pressuring me to go to. And when I- when I got there, like I'm not used to this like party environment where everything you see in the movies is kind of what happens, where you have people just drinking out of the bottle-","-your course that, you know, to-- the hands-on stuff, it sounds like you're really confident around doing, but it's the more reading, writing, book, kind of, stuff that you are not so--"
2413,"-or playing random games with alcohol, just to get drunk for no reason. And because I was there in the moment, I felt pressured to do and like conform to what everyone else was doing. So I wouldn't be- I wouldn't be ostracized.",Mm.
2414,I understand.,Mm. Okay. So- so like before you get to here where you got this dream and there's some things that need to happen before that.
2415,"Okay. Um, I know that it's bad for me. It's-it's bad for my body. It's bad for-for-for-for being on the team, for being an athlete. It hinders my performance. Just, I don't know. I-I feel that my-my friends pressure me. I don't know. I feel I should like go with different friend groups. Maybe. I don't know.","Yeah. So, mm, we need to think about what's the very first step."
2416,"I don't know, like being in a sports team, y-you feel very, you have to like be unified with the group.",Mm-hmm.
2417,"Right. And as being one of the leaders, my fellow teammates expect me to be-- I expect them to lead not only in the sports but also in social environments. And if that's a social- that's a social custom in our society. So it's like—","Yeah, you know, I get it. Like, we've all been there. Okay. You know, I was in high school ones too, you know, I drank too. I get it. There's not a ton to do in this town a-and kids drink, but, you know, promise we have these rules-"
2418,"I could, but that could also backfire on me. I feel that I could be ridiculed for being, having a stick up my butt, you know.","-and you're on a team, you have to stick by the rules."
2419,"I mean, it's just one-- I'm just one person against the voice of the mob.","Yeah. Chris, come on. You're getting peer pressure?"
2420,I understand.,"Yeah, but you're one of the leaders."
2421,"Well, I'll dedicate the time, not to party and night. Well, not-not-not party, but, you know, get involved with alcohol to that extent. And like, have it publicized on the internet.","Yeah. Well, maybe you can start leading as a non-drinker then."
2422,"Like on Facebook, all the pictures that you saw on the internet. Like I w- I will avoid those situations where I have to go to a party where I feel pressured to actually drink alcohol and allow what I do in my own private time to put on the internet so others can see, even though.","You're a star player, who's going to pick on you?"
2423,Right. I'll stop.,"All right. Well, yeah. So the issue again is I can't be hearing reports about you drinking. I can't be hearing that you're at parties and you can't be seeing pictures on Facebook. You know, there-there are rules at this school and in my job, I have to enforce them. So, you know, like I said, I get it, you know-"
2424,I promise.,"-I'm not saying I know what it's like. I-I get that you want to have fun in your teenage years. I get that. But, you know, you are a star player, we want to keep you on the team. You know, we got to figure out a way to get through this."
2425,Shake.,What do you mean?
2426,See you later.,"All right. Yeah. I mean, we got to have a deal here if you're going to be on the team. Okay?"
2427,"He, um, introduced me to it too, so I've tried it.",All right. You promise?
2428,Oxy.,All right. Shake.
2429,Yeah.,All right. I'll see you later.
2430,"Well, yeah he said it was a pain- a pain medicine.",All right.
2431,Mm-hmm.,"So with his encouragement, you-you tried some drugs."
2432,"And it has, but I don't do it as often, it's just sometimes.",You tried oxy? Okay.
2433,Dealing with my grandma's loss.,Okay. And he encouraged you to do that.
2434,"Yeah. I feel alone, and I just, I miss her and, it does- it does help but,-",He said that it would help you with some of the pain that you've been having.
2435,-I don't wanna have to rely on having to take that.,Yeah.
2436,"Mm-hmm. Yeah, and—","Okay. So you trusted him on that, and you tried it out and you found that it helped you in certain ways. What are some of the things that you said it's-- takes some of the pain away, it's not just-- you know."
2437,Right.,"Okay, so that's helped you."
2438,"Yeah, it is.",Mm-hmm. So it help—
2439,"Yeah, well, I don't really know too much about it, other than it makes me feel good.","Okay. So it's not something you wanna rely on, you don't see yourself continuing to use this. It's something that you'v found at least for the moment very helpful?"
2440,I'm doing all right. How are you?,"But it's not something that you wanna make a habit of becoming reliant on, or dependent?"
2441,"Oh, I got my lip pierced.","Yeah, okay. Um, and-and so that's a lot going on right now for you? Yeah."
2442,Why? I don't know. I wanted a change and-,"You've been managing in the best way you can. You also have some doubts about it too, it sounds like?"
2443,-it seems kind of cool,"Okay, so for now you know that it makes you feel good."
2444,"Well, I mean, nobody needs a piercing, I wanted one. It was a-","I'm good. Um, wow, what's changed? What do we have here?"
2445,-nice change.,"Emily, why? Why did you get your lip pierced?"
2446,"Oh, I mean, it's my lip that's pierced, not my teeth.",You're-
2447,Yeah.,-gorgeous. Your teeth are lovely. You do not need a piercing.
2448,Yeah.,Do you know what-
2449,"I mean, it's been okay so far. It hasn't caused me any problems.",-those oral piercings can do to your teeth?
2450,Yeah.,"Well, yes, except that, you know what's gonna happen. See how-- Do you feel how when you're moving your lips-- Smile for me. Okay. So, do you see how when your muscles are moving, that piercing is rubbing against your gums-"
2451,"I mean, I just put in-","-as well as your teeth. So, we can see some recession that's gonna start to happen-"
2452,"-I'm not gonna take it right out. It's-- Like you said, I've only had it in for a month, I mean.","-possibly, um, affecting the tooth itself, chipping the tooth, et cetera. So, it's something that we definitely don't like to see."
2453,"Well, I mean, if it starts to cause a problem, then maybe we talk about it, but at this point, I mean-","Well, it's only been a month."
2454,-it's fine.,"I think it [unintelligible 00:01:18] days yet, and it might not be a bad idea to reconsider the piercing."
2455,Yeah.,Just-
2456,Yeah.,"Emily, I've been seeing you for so long and you know that I really just-- I think you have lovely teeth and I've watched you, you know, just mature, et cetera, and I hate-- I'd hate to see you wreck your teeth for something like this. I really would."
2457,All right.,All right.
2458,Hi.,All right. Okay.
2459,"Good, I'm doing really good.",Okay.
2460,"Yeah, I really like doing this, and, um, I-I rated health as my first-","Okay. We'll continue with the exam, but you know where I stand on this. Okay?"
2461,"-uh, value. Yeah, because I really value physical and mental health, um, spiritual, emotional. Everything as a whole package, I guess, health. Um, and I'm working on, um, a certification to become a fitness trainer. Cal State [inaudible 00:00:40] there's a like extension program. I've been doing that for the last five weeks. I have a final exam coming up, like, Saturday. A little tense about it, I guess, but, um, I'm looking forward to, like, doing it, and I gotta wait for my results. Then, I got into an internship.",All right.
2462,"Um, but it's kind of exciting, a different career path in my life. Being an office worker for so long is getting boring too-- physical activity, health, in that respect.","Hi, Deborah. How are you doing today?"
2463,"Yeah, I like being active. You know, if I could, um, be more adept to tennis, and I would love to do something like that coaching people how to play tennis, but I don't. I know enough about the game and play it, but I-I don't think my skill level would be high enough to actually coach other people but—","Yes, um, so you did do your Values Clarification Sheet. Is there anything that you'd like to talk about that you discovered?"
2464,"Yes, I have.","Oh, so it's your first?"
2465,"It's been in the top. It's been up there, yeah. I don't remember if it's always been number one. It's probably definitely been in the top three. Uh, yeah, because I've had problems, um, with inner harmony, I guess in different stages in my life, so I don't get that. This time I put it at number two.",Mm-hmm.
2466,"Yeah, it's just funny how it came out that it wasn't in the top 12. But then when I look at it again it had something to do with, um, peace, uh, inner peace or something or something in there.","So, health being your number one, um, which is kind of pushing you into this new direction, as far as you being a prior officer worker? You're doing something that you're actually living to do."
2467,"And, um, I put that as a higher priority, or top of my value list.","Now, have you done this sheet more than once?"
2468,"Yeah. Um, since I've been practicing yoga, and since I learned how to teach yoga, that's been something that I've been, um, coming to terms with more, that I feel like I have a lot more inner harmony. I'm more at peace with myself, and in-in the quiet times, and if I'm meditating.","And then, has health always been number one for you?"
2469,"Um, I really feel like-- yeah, I feel like really good about myself.",Inner harmony is number two?
2470,"Yeah, that's part of it. Yeah, and then just feeling like, um, I don't have to please other people either. It's not a selfish thing to put myself first. And, uh, that's something I've always tried to do, make other people happy, please other people, and-and also put myself second, third, fourth, or whatever it is. And I always thought, ""Well, that's the way a good person should be.They should always put other people first, you know. And then there's times for that, you know. There's something going on, and you wanna go out of your way to help people, and you say, ""Well, my needs aren't so important right now."" I think that is okay to do once in a while. As long as you know- you know that you're not really, um, doing anything detrimental to yourself while you're doing it. And you realize, ""Well, I'm just-- I'm really helping this other person a lot, and it gives me satisfaction.""",Mm-hmm.
2471,"Not out of a sense of, uh, you know, ""I'm obligated to this person.""","So, would you like to express more on the inner harmony part of how that affects your life?"
2472,Mm-hmm.,Mm-hmm.
2473,Self love.,"So, yoga, is that based on the number two, like inner harmony? That's where that comes from?"
2474,"Yeah, mm-hmm, yeah. [crosstalk] And that it's not selfish.",Mm-hmm.
2475,"Yes. Yeah. Um, then, and but also service, that's third because I really do enjoy helping other people. Being there for other people, you know, and-and if it puts myself out. Like I have my brother, his-his daughter, and his granddaughter they come over and, uh, I slept on-on the air mattress and, uh, me with my mother and my dad and my sis-- my-- his daughter in the other spare room that I have.","Yes, yes, yes. So, basically, reflecting on how you felt before about you were coming second, third, and fourth. Um, it was- it was really a problem, you know, like, how could you be so, you know, selfish, and think about yourself when-"
2476,"And I do that, but I think, well, it's one night or it's two nights that I have a guest. I could sleep in my bed all the other days. [unintelligible 00:05:54]","-the reality is inner peace and inner harmony is based around, you know, self-self worth, and you know, self-- and-and dealing with-"
2477,"So, you know, even if it's a little inconvenient for me, or my house gets messy, or my kitchen is a mess, or whatever they don't pick up after themselves it's okay. You know, I'll live. You know, it's okay, it's not a big deal. Yeah. Before it was wisdom, because I really, that's, um-- it is high on my list and it might be higher if these other things weren't here.",-self love.
2478,"But I like I enjoy learning and experiencing different cultures going, um, to different places in the world and then just also being around people that live in the community that are from other cultures. And I think that brings a lot of wisdom. And just also being open to, uh, differences. And then like today, Election Day realizing that something might happen, uh, in the Congress or the Senate, that's gonna be sort of against my values but if it happens, it happens, and I have to deal with it and-and be at peace with myself with about whatever anybody else is doing I still have to have that inner peace within myself.","Yeah that's not selfish. And so you feel as though you can help, you can be of help to others, um, just as long as it's not detrimental to yourself. It's true."
2479,Right. Mm-hmm.,Mm-hmm.
2480,Yeah.,"And in the sense of you saying in your words, you'll live."
2481,"Yes. And school learning in the classroom and outside of the classroom. Where I've been in different Native American communities, reservations, place I spent two months in the summertime really, uh, learning about the cultures is a beautiful place to be, there's a lot of wisdom. And, uh, fun, pleasure, fun, satisfaction-","So, live, um, having that as a priority, um, do you feel as though, like you said before you'll live, but you know that you're able to look at, okay, these are my values, you know, and you're able to acknowledge [unintelligible 00:07:30] values."
2482,"-enjoyment. I think it's intertwined in a lot of things. It's fun to learn about pe-- other people, other cultures. it's fun to have the inner harmony. I think that- I think that was an all-encompassing thing about life. The part of it is to experience pleasure. Yeah.",And learning the differences of the different cultures that brings you wisdom.
2483,Yeah.,Mm-hmm.
2484,"And when I think of the flip side of that, uh, um, I-I know there's gonna be pain, disappointment, upset in my life, um, too that I accept that and that's part of joy.",So pleasure being your number five.
2485,True joy comes from knowing it's not always gonna be happy. I'm gonna- I'm gonna be bummed out sometimes.,Okay.
2486,"I'm gonna be disappointed, I'm gonna be injured or whatever.",Mm-hmm.
2487,Absolutely.,Mm-hmm.
2488,Mm-hmm. Yeah.,So you've taken that into account that-
2489,Inner harmony.,-things may happen in life.
2490,Right.,It sounds as though your list is like definitely a story. I-It kind of attracts you in the beginning as far as your health and the number two was being service. Number three. Uh—
2491,Yeah.,"Inner harmony was number two, and having that peace of then to allow yourself to help other people or to serve-service."
2492,"Yeah, it was nice being here and having you listen to me. Encouraging me was okay.","Not being, you know, whatever you did for others. That being, um, as far as, like you said within yourself, that you won't be able to find, um, problems with helping other people. And, uh, that's when service which is your number three or number four, which has been wisdom. You learning different, you know, cultures and having that broad range of-of just opening your eyes and seeing the world in a whole another scope.And then five which being pleasure, which is also okay, I do see the whole world and I know that within myself that I'm able to, you know, accept that I will have things coming out of me as far as, you know, not being, you know, uh, it's like, okay, things might happen. You're gonna get bummed one day but finding joy and pieces [unintelligible 00:10:21]"
2493,[signs] Kind of slow.,"Well, it was nice talking to you."
2494,Yeah.,Okay.
2495,"Oh, they have me doing all kinds of things in different machines and stuff. Yeah, it hurts.",Kind of slow?
2496,"Well, just about every joint like especially my knees. They're really-- They have me doing some leg things that-that-that is it really necessary?",What kind of things have you been in your rehab?
2497,Okay.,"It hurts? Oh, I'm sorry to hear that. Where are you having pain?"
2498,I wanna go home.,"Well, you know, I-I understand that pain is hard to work through but a lot of time when you're having rehab after a stroke, that pain is telling you that your muscles and joints are starting to work again. So you can kind of think of it as a positive way to, you know, know that your-your body's getting back to normal."
2499,"Everything. I wanna- I wanna, play with my dog. I miss my dog. I wanna cook for myself. I'm a very independent person and I wanna do things for myself.",But what are your goals for the long term?
2500,"Um, I guess the rehab.","Oh, of course, of course. And what are the things that you'd like to be able to do once you get home?"
2501,Not really.,"Yeah, yeah. And so that's a very important goal to be able to get back home, to be able to get back to your independence. Have you thought about what it might take to get there?"
2502,"Oh, yeah.","Mm-hmm. Yeah, you're absolutely right. And it's also going to be very important that once you're home, you're able to continue on a regular activity program. Have you thought about what that might look like?"
2503,"Uh, I have.","Not really, okay. Well, have you ever heard of something called Tai Chi? Is that a familiar term to you?"
2504,"I have a friend who, uh, does it and she just raves about it. She loves it.",You've heard of it?
2505,"Absolutely. I do not want to fall, for sure.",Okay.
2506,"Well, I-I hadn't really thought about it, but yeah I guess, I guess.","Well, you know, Tai Chi is one of the best ways to get your balance back after you've had something like a stroke. And it's also really good for preventing falls. And if you wanna be home and you wanna be doing the things you wanna do and going for walks with your dog, it's very important to make sure that you don't fall 'cause that would cause more problems down the road."
2507,"Like I said, my friend talks about it and-and it's very pretty. I've seen pictures, you know.",So what do you think about Tai Chi? Is that something you think you might be able to try sometime?
2508,"Well, I don't see how I could do it. I-I'm still in a walker, you know.",Mm-hmm.
2509,I could?,"Yeah, yeah, yeah. Well, it's not that easy to get started. You do certainly have to have some motivation to want to do it. Um, and when you first start, oftentimes you do feel a little wobbly or a little insecure."
2510,And you really recommend this?,"Yeah, yeah, I understand. So there are lots of places around that have it. Your local senior center would have it. And what I recommend is that you start by doing it in a chair. Just sitting in the chair."
2511,You do Tai Chi?,"You could. You can talk to the instructor and that way you won't fall, you'll feel confident and you'll start to learn some of the moves. And then gradually over time, as you get a little bit better at doing the moves in a chair, you can start to stand up, use the chair to lean on, and then eventually, you'll be able to get to the point where you can do it on your own."
2512,"Oh, okay. Well, yeah. Um, listen, anything that's going to get me home and if you do it and you recommend it, I'll try it.","You know, it cuts your risk of falls in half. It also helps to reduce pain although that's not a short-term benefit, you do have to stick with it for at least three to six months to start have it help reduce your pain. But it does have a number of things that I think would get you to your goals of being home and able to play with your dog and doing your own cooking and things like that."
2513,"Okay, okay.",I do Tai Chi. I do it three days a week and it's really helped my balance as well.
2514,Mm-hmm. Yeah.,"All right. Well, I'm delighted. It's a pleasure to see you again. I hope your rehab continues to go well and we can talk some more about this at our next visit."
2515,Mm-hmm.,All right. Thank you for coming in.
2516,"It's been- it's been really difficult. Um, I hate to see her gasping for breath. And, um, I'm really worried, you know, when she has to go. Uh, so that's been-- it's really difficult when I have to take her.","Hi, I'm Bruce Berger. I work in the clinic and, uh, I noticed that you're in to pick up a prescription for Sarah's, uh, rescue inhaler-"
2517,Mm-hmm. Yeah.,-for her asthma. I noticed that she's been in the emergency room five times in the last year for her asthma. What's that- what's that been like for you?
2518,Mm-hmm.,"Yeah, it sounds like you'd be willing to do whatever you can to try to prevent that from happening."
2519,"Well, I did research on the chronic inhaler and I found out that there were steroids in it and that-that I don't want her taking steroids. I did, uh, research on some of the potential side effects and some of the health problems that can result from taking steroids and I-I just don't want her to take those at all. I don't want her exposed to them at all. And then, uh, let me just go ahead and lay this out right now. Uh, because I'm sure it'll come up, but I-I do smoke. But I make sure that I do not smoke around her so that I make sure that it does not affect her. So-","Okay. I-I also noticed that, uh, it's been about three months or so since you picked up the prescription for her chronic inhaler."
2520,-I just want to let you know that right off.,Are you having some difficulties with that?
2521,Mm-hmm. Yeah.,Okay.
2522,Yeah.,"Well, it sounds like you care about Sarah a great deal. You-you don't want her, uh, using steroids. You're worried about what kind of effects those would have on her and you're- you're working hard to keep your smoking away from her so it doesn't affect her asthma."
2523,Okay.,"Okay. Uh, would you mind if we talked a little bit about the chronic inhaler and the medicine that you're concerned about with, you know, the steroids because, you know, I certainly don't want her using a medicine that has steroids in it, like the ones that you're worried about for athletes. Uh, can we talk about that just a little bit?"
